# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = bernoulli_model
# start_datetime = 2023-10-13 01:40:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.800000 (Default)
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = bernoulli.json
# init = 2 (Default)
# random
#   seed = 769305535 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.0-rc1-74-g10b8ef0
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.864925
# Diagonal elements of inverse mass matrix:
# 0.505499
-6.92636,0.800743,0.864925,2,3,0,8.32931,0.180724
-7.95601,0.87164,0.864925,1,3,0,8.15628,0.0951855
-7.67597,1,0.864925,1,1,0,7.97598,0.10969
-7.61772,1,0.864925,1,1,0,7.77557,0.113157
-7.4816,1,0.864925,1,1,0,7.66851,0.12204
-7.10323,1,0.864925,1,1,0,7.42891,0.155639
-6.96515,1,0.864925,1,1,0,7.08975,0.174221
-6.79306,0.937555,0.864925,2,3,0,7.58062,0.213792
-6.75357,0.999268,0.864925,2,3,0,6.80016,0.236985
-6.74864,0.99943,0.864925,1,3,0,6.75797,0.254397
-7.84499,0.796538,0.864925,1,3,0,8.0931,0.456996
-7.18137,1,0.864925,2,7,0,7.77274,0.147158
-6.95406,0.989549,0.864925,2,3,0,7.36023,0.176002
-6.91991,1,0.864925,2,3,0,6.96998,0.181886
-8.37104,0.805714,0.864925,1,3,0,8.80165,0.0784543
-8.06607,1,0.864925,1,1,0,8.41773,0.0902808
-8.1114,0.995825,0.864925,1,1,0,8.26716,0.0883683
-8.83036,0.980812,0.864925,2,3,0,8.8383,0.06431
-6.75998,1,0.864925,2,3,0,8.48186,0.23101
-6.8133,0.947801,0.864925,2,3,0,7.14374,0.206745
-6.78386,1,0.864925,2,3,0,6.80917,0.21757
-7.49139,0.848982,0.864925,1,3,0,7.91852,0.418362
-7.1572,1,0.864925,1,1,0,7.449,0.372587
-7.63912,0.877363,0.864925,1,1,0,7.67271,0.43539
-7.85754,0.940615,0.864925,1,1,0,8.04848,0.458246
-8.0015,0.960187,0.864925,1,1,0,8.26713,0.472116
-7.13983,1,0.864925,1,1,0,7.77527,0.369799
-7.30204,0.957545,0.864925,1,1,0,7.3685,0.393993
-6.94302,1,0.864925,2,7,0,7.25015,0.177835
-6.75446,0.988538,0.864925,1,3,0,7.05284,0.264354
-6.95032,0.961972,0.864925,1,3,0,6.97767,0.334503
-8.2516,0.503595,0.864925,1,3,0,10.617,0.0828093
-6.76234,0.921969,0.864925,2,7,0,9.2406,0.271539
-7.45482,0.880153,0.864925,2,3,0,7.77198,0.413906
-6.83901,0.923322,0.864925,1,3,0,7.97654,0.199363
-6.83901,0.665977,0.864925,1,3,0,9.4327,0.199363
-6.77782,0.996792,0.864925,2,3,0,6.87686,0.220344
-6.97073,0.985294,0.864925,2,3,0,6.97094,0.338885
-6.84593,0.944963,0.864925,1,3,0,7.34482,0.197584
-7.03024,0.971189,0.864925,2,3,0,7.15838,0.164744
-7.18699,0.976721,0.864925,1,1,0,7.19927,0.146589
-7.12708,1,0.864925,1,1,0,7.2235,0.152929
-6.78539,0.971254,0.864925,1,3,0,7.4576,0.285162
-6.78981,0.980611,0.864925,2,7,0,6.90593,0.215076
-6.84884,0.988066,0.864925,2,3,0,6.91285,0.196856
-6.90106,0.996951,0.864925,2,3,0,6.90803,0.185435
-8.46127,0.898669,0.864925,2,3,0,8.51745,0.511683
-8.27715,1,0.864925,1,1,0,8.78521,0.496592
-6.85739,1,0.864925,2,3,0,8.0594,0.194785
-7.01415,0.937235,0.864925,1,3,0,7.44106,0.347632
-7.12571,0.971382,0.864925,1,1,0,7.1686,0.367489
-7.55261,0.645854,0.864925,1,3,0,9.37634,0.11726
-6.78405,0.951806,0.864925,1,3,0,8.15462,0.284509
-6.83747,0.965491,0.864925,2,7,0,7.00089,0.199769
-8.71391,0.685594,0.864925,1,3,0,9.6098,0.0675561
-6.78221,1,0.864925,2,3,0,8.40982,0.2183
-6.78221,0.807191,0.864925,1,3,0,8.02495,0.2183
-7.16544,0.967747,0.864925,2,3,0,7.17322,0.37389
-7.06114,1,0.864925,1,1,0,7.19392,0.356388
-6.96094,0.884109,0.864925,1,3,0,7.78583,0.17489
-6.7659,0.996035,0.864925,1,3,0,6.9546,0.226873
-7.55242,0.838843,0.864925,1,3,0,7.92068,0.425576
-8.50845,0.92139,0.864925,2,3,0,8.585,0.51541
-7.82279,1,0.864925,1,1,0,8.48499,0.454767
-6.87053,1,0.864925,2,3,0,7.63941,0.191775
-6.91662,0.997354,0.864925,2,3,0,6.92784,0.182488
-6.96035,0.940772,0.864925,2,7,0,7.47647,0.336681
-7.59116,0.942219,0.864925,2,3,0,7.59135,0.43002
-6.75058,0.997573,0.864925,1,3,0,7.57533,0.25901
-7.79438,0.738868,0.864925,1,3,0,8.59535,0.103157
-6.75216,0.979942,0.864925,2,3,0,8.15099,0.238738
-6.76121,0.953415,0.864925,2,3,0,7.11822,0.270655
-6.75686,0.904231,0.864925,2,3,0,7.4576,0.233632
-7.31202,0.884663,0.864925,1,3,0,7.53239,0.135056
-6.74804,0.983694,0.864925,1,3,0,7.50403,0.24928
-6.76966,0.982215,0.864925,2,3,0,6.86897,0.224618
-6.79525,0.995025,0.864925,1,1,0,6.79558,0.212954
-7.42558,0.806741,0.864925,2,3,0,8.3321,0.126068
-7.19572,1,0.864925,1,1,0,7.41173,0.145715
-6.84206,0.92745,0.864925,2,3,0,8.04473,0.198571
-6.80135,1,0.864925,1,1,0,6.83684,0.21073
-6.77104,0.990667,0.864925,1,3,0,6.89088,0.277435
-6.80821,0.991466,0.864925,1,1,0,6.80856,0.294944
-6.86974,0.98537,0.864925,1,1,0,6.87351,0.314769
